cell_id,fraternal,religious,veterans,country_clubs,civic,business,collectors,union,charitable,church_board,school_board,local_board
1,2.1958,3.5979,2.5397,1.3228,1.3757,1.0317,0.3968,3.545,4.7354,2.8571,1.1111,0.582
2,2.1519333333333335,3.539433333333333,2.4563333333333333,1.2772666666666668,1.3382666666666667,1.026,0.4078,3.5077666666666665,4.6366,2.7803,1.0991333333333333,0.5614666666666667
3,2.13,3.5102,2.41465,1.2545000000000002,1.31955,1.02315,0.4133,3.48915,4.587199999999999,2.7419000000000002,1.09315,0.5512
4,2.1473666666666666,3.5532333333333335,2.491633333333333,1.2614666666666667,1.3565333333333334,0.9906,0.3948,3.4631666666666665,4.613333333333333,2.8077666666666667,1.0742333333333334,0.5669
5,2.1635375,3.3875375,2.4359875,1.4073875,1.476475,0.8747375000000001,0.35335,3.3393375,4.622325,2.73145,0.9511000000000001,0.4855875
6,2.0688666666666666,3.465333333333333,2.3728666666666665,1.2122333333333333,1.3014,0.9821,0.4144333333333333,3.4347,4.4812666666666665,2.7194333333333334,1.0864333333333334,0.5402
7,2.2398333333333333,3.6353999999999997,2.5384333333333333,1.4217666666666666,1.3856666666666666,1.0755666666666666,0.3968,3.428166666666667,4.764466666666666,2.871033333333333,1.1214,0.5894666666666667
8,1.9193,3.2396666666666665,2.2677666666666667,1.119,1.2303333333333333,0.8378666666666666,0.37493333333333334,3.0132666666666665,4.0423,2.5303666666666667,1.0227333333333335,0.5019333333333333
9,2.0909,3.1254999999999997,2.282225,1.5066,1.5529249999999999,0.7132,0.29125,3.0976,4.464175,2.5964,0.8145,0.38405
10,2.1597222222222223,3.3971555555555555,2.4487,1.3723444444444444,1.4532444444444443,0.8608444444444444,0.3655111111111111,3.293511111111111,4.5766,2.7299444444444445,0.9486666666666667,0.4938
11,2.1485285714285713,3.5416142857142856,2.478842857142857,1.2735571428571428,1.3411285714285714,0.9949,0.4166285714285714,3.418942857142857,4.5992999999999995,2.7883428571428572,1.0785714285714287,0.5641285714285714
12,2.363,3.7671,2.6027,1.4726,1.4384,1.1301,0.4452,3.6301,5.0342,3.0137,1.1301,0.6164
13,2.1997999999999998,3.5475,2.549,1.34545,1.3684500000000002,1.0196,0.41054999999999997,3.3988,4.6289,2.7683,1.1050499999999999,0.5788
14,2.2419000000000002,3.62115,2.5633625,1.376775,1.383025,1.05125,0.41115,3.4483,4.7407125,2.8403875,1.1066624999999999,0.5868249999999999
15,2.1448428571428573,3.3071,2.4072714285714287,1.4380142857142857,1.470557142857143,0.8289,0.3383285714285714,3.1533714285714285,4.500585714285714,2.6633285714285715,0.9236571428571428,0.46417142857142857
16,2.09238,3.18624,2.34464,1.44498,1.51296,0.7349600000000001,0.30920000000000003,3.07616,4.42358,2.60884,0.84676,0.41676
17,2.1470571428571428,3.326257142857143,2.4236714285714287,1.4154714285714287,1.4720714285714285,0.8196857142857144,0.34994285714285717,3.2099714285714285,4.5343857142857145,2.6842142857142854,0.9171714285714285,0.4699285714285714
18,2.1603333333333334,3.545733333333333,2.4824833333333336,1.2907333333333333,1.33995,1.0034333333333334,0.41276666666666667,3.4343333333333335,4.626333333333333,2.79045,1.0834666666666668,0.5692833333333334
19,2.3448,3.7241,2.5517,1.5862,1.4483,1.2414,0.4138,3.5862,5.1034,2.8966,1.1724,0.6207
20,2.20245,3.53585,2.5205,1.3725,1.36795,1.0606,0.40005,3.3596,4.6547,2.7466,1.1012,0.5786
21,2.2123333333333335,3.5623666666666667,2.572,1.3333,1.3689333333333333,1.0044333333333333,0.4107,3.3769666666666667,4.633366666666666,2.7689333333333335,1.0867666666666667,0.5786666666666667
22,2.2758833333333333,3.6632666666666664,2.596283333333333,1.3902833333333333,1.3998833333333334,1.07085,0.42495,3.5126666666666666,4.8311,2.8669333333333333,1.1094666666666666,0.59305
23,2.2628,3.37716,2.53924,1.56186,1.6008,0.8127800000000001,0.34042,3.22808,4.73562,2.75862,0.86936,0.46508
24,2.212133333333333,3.1309,2.446,1.6501000000000001,1.7063,0.6203666666666666,0.26993333333333336,3.0212666666666665,4.6096,2.6299,0.7043333333333334,0.3629
25,2.1751444444444443,3.421666666666667,2.451966666666667,1.434388888888889,1.4736222222222222,0.8994,0.3653222222222222,3.3463555555555557,4.666155555555555,2.766777777777778,0.9775,0.5044777777777778
26,2.146622222222222,3.5455111111111113,2.516966666666667,1.2722,1.359388888888889,0.9687888888888888,0.40513333333333335,3.4256444444444445,4.618344444444444,2.8130444444444445,1.0641222222222222,0.5754777777777778
27,2.1242,3.49884,2.51704,1.26436,1.35576,0.93878,0.39514,3.3266999999999998,4.54908,2.75184,1.04606,0.5612
28,2.3448,3.7241,2.5517,1.5862,1.4483,1.2414,0.4138,3.5862,5.1034,2.8966,1.1724,0.6207
29,2.20245,3.53585,2.5205,1.3725,1.36795,1.0606,0.40005,3.3596,4.6547,2.7466,1.1012,0.5786
30,2.2807714285714287,3.654114285714286,2.5839714285714286,1.427757142857143,1.4026285714285713,1.0992285714285714,0.4131714285714286,3.5037714285714285,4.8643,2.862857142857143,1.1209857142857143,0.599
31,2.31131,3.70491,2.59545,1.47966,1.4223999999999999,1.14077,0.42317,3.58797,4.97523,2.92788,1.1483,0.61255
32,2.208458333333333,3.477116666666667,2.4744416666666664,1.4664083333333333,1.4593,0.972225,0.380125,3.379966666666667,4.730991666666667,2.783975,1.0290166666666667,0.5325083333333334
33,2.1516363636363636,3.396790909090909,2.4356636363636364,1.4009,1.4414909090909092,0.8989363636363636,0.3673818181818182,3.2836636363636362,4.572263636363636,2.7224,0.9883909090909091,0.5089363636363636
34,1.90566,3.15773,2.19222,1.14187,1.1982300000000001,0.894,0.37095,3.07851,4.10717,2.49244,0.97697,0.50498
35,1.9224400000000001,3.18985,2.27616,1.14871,1.22675,0.86522,0.36785,3.04907,4.15654,2.53704,0.94919,0.5163
36,2.07653,3.45174,2.47723,1.21877,1.33179,0.90619,0.40599999999999997,3.27034,4.43881,2.71487,1.03119,0.54972
37,2.1075,3.5012,2.52395,1.2147999999999999,1.3514,0.90735,0.42275,3.3335999999999997,4.5159,2.7532,1.02615,0.56915
38,2.1337333333333333,3.509733333333333,2.472,1.2346666666666668,1.3300666666666667,0.9714333333333334,0.44020000000000004,3.4399333333333333,4.5517666666666665,2.7464,1.0625666666666667,0.5664
39,2.1439,3.4949,2.4963,1.2188,1.3216,0.9692,0.4258,3.3921,4.5081,2.7166,1.0573,0.558
40,2.3163,3.6886,2.5673500000000002,1.51265,1.42525,1.1742,0.4283,3.5274,4.9871,2.8874,1.1397,0.60555
41,2.2945666666666664,3.681511111111111,2.5831666666666666,1.4521777777777778,1.411011111111111,1.1266555555555555,0.41992222222222225,3.5715,4.932011111111111,2.897511111111111,1.1341555555555556,0.6059555555555556
42,2.326511111111111,3.736011111111111,2.6298666666666666,1.4934,1.4432666666666667,1.1400444444444444,0.4261666666666667,3.613122222222222,5.011211111111111,2.9557777777777776,1.148311111111111,0.6198111111111111
43,2.2166727272727274,3.5895,2.4705181818181816,1.410209090909091,1.3739545454545454,1.100818181818182,0.41508181818181816,3.5362454545454547,4.777654545454546,2.8190636363636363,1.1490909090909092,0.5863454545454545
44,2.1216555555555554,3.491077777777778,2.4085111111111113,1.2867555555555557,1.3252777777777778,1.0088444444444444,0.40755555555555556,3.4276444444444443,4.559166666666666,2.7424333333333335,1.0961555555555555,0.5644666666666667
45,1.88094,3.12715,2.15537,1.12066,1.18048,0.87964,0.37341,3.06714,4.05707,2.4683100000000002,0.97299,0.49974
46,1.59501,3.21953,1.88168,0.94336,1.02734,0.72926,0.32575,3.13696,3.99795,2.13953,0.84111,0.41537
47,1.9949363636363637,3.3943363636363637,2.382581818181818,1.1570454545454545,1.2943454545454545,0.8861727272727272,0.3958,3.2657454545454545,4.3377,2.6722,1.0322636363636364,0.5265181818181818
48,2.0626272727272728,3.454909090909091,2.421509090909091,1.2208818181818182,1.3135454545454546,0.9373454545454546,0.4048090909090909,3.334909090909091,4.457290909090909,2.740372727272727,1.047190909090909,0.5488636363636363
49,2.1212999999999997,3.4893,2.4709,1.2410625,1.3206625,0.96185,0.4196875,3.3732,4.5105375,2.7556875,1.0509249999999999,0.5651125
50,2.1439,3.4949,2.4963,1.2188,1.3216,0.9692,0.4258,3.3921,4.5081,2.7166,1.0573,0.558
51,2.1791,3.50495,2.4523,1.3024499999999999,1.3241999999999998,1.0359,0.4174,3.4177,4.60125,2.7205000000000004,1.0912,0.56155
52,2.2132,3.5804,2.516166666666667,1.3302666666666667,1.3518666666666665,1.0459666666666667,0.4275333333333333,3.4725,4.7021999999999995,2.8016,1.0970333333333333,0.5733666666666667
53,2.2862,3.6891166666666666,2.5940666666666665,1.4147333333333334,1.4101166666666667,1.0915166666666667,0.42741666666666667,3.55385,4.884383333333333,2.8881,1.1251333333333333,0.5989666666666666
54,2.1767,3.5871714285714287,2.4124857142857143,1.4504142857142857,1.4341285714285714,1.1680857142857144,0.3630857142857143,3.472514285714286,4.831214285714285,2.669542857142857,1.2101428571428572,0.5082285714285715
55,1.965611111111111,3.334766666666667,2.2008111111111113,1.2812777777777777,1.3105777777777778,1.0353222222222223,0.35233333333333333,3.270688888888889,4.386122222222222,2.503988888888889,1.1564444444444444,0.4720666666666667
56,2.08151,3.27672,1.9658,1.06676,1.10881,0.84279,0.35758,3.27125,4.1325199999999995,2.62204,0.98372,0.45479
57,1.7825625,2.82145,1.5914625,0.8234,0.9025125,0.6588625,0.284375,2.8005,3.47485,2.297325,0.8017375,0.3620625
58,1.891485,3.2686,2.23011,1.12907,1.239665,0.87282,0.3829,3.17536,4.16042,2.56738,1.049115,0.498355
59,2.0147923076923075,3.3985461538461537,2.3565384615384617,1.2117153846153845,1.2950538461538461,0.9303384615384616,0.4020076923076923,3.2971923076923075,4.385153846153846,2.6915692307692307,1.0603,0.5305076923076923
60,2.1177357142857143,3.4716071428571427,2.433921428571429,1.2766428571428572,1.322442857142857,0.9913857142857143,0.40892142857142855,3.3796214285714288,4.5198285714285715,2.7260857142857144,1.0823571428571428,0.5597285714285715
61,2.19284,3.5726,2.52666,1.29388,1.35078,0.99946,0.42826000000000003,3.4141,4.63192,2.78312,1.0781,0.57904
62,2.2474,3.6411,2.7526,1.3415,1.4286,0.9233,0.4181,3.1707,4.6516,2.8049,1.0279,0.6098
63,2.4577,3.9121,2.8974,1.4656,1.522,1.0372,0.451,3.4611,5.1071,3.0101,1.0598,0.6426
64,2.2354,3.67122,2.4635000000000002,1.58062,1.51,1.24832,0.34156,3.46554,5.03484,2.70296,1.26198,0.50044
65,2.0886,3.4499875,2.307825,1.39655,1.36585,1.1141375,0.35988749999999997,3.3206875,4.6035,2.5633375000000003,1.1865,0.486925
66,1.91882,3.47207,1.75754,1.02407,1.03681,0.84346,0.28039,3.45761,4.3200899999999995,2.26738,0.93358,0.36943000000000004
67,1.5838,3.37954,1.101,0.57982,0.6562600000000001,0.44054,0.20242,3.33076,3.75252,1.99246,0.62522,0.25142
68,1.73273125,3.32219375,2.049275,1.042625,1.1459875,0.7996875,0.35826875,3.23138125,4.1124875,2.3669375,0.98140625,0.46413125
69,1.966505,3.338715,2.28876,1.185625,1.270505,0.9164,0.396035,3.260475,4.289785,2.629395,1.07239,0.523465
70,2.0695466666666666,3.42362,2.35202,1.2406933333333334,1.2917333333333334,0.9882133333333334,0.40347333333333335,3.3994866666666668,4.45172,2.677026666666667,1.09672,0.5436933333333334
71,2.1457249999999997,3.5081625,2.44835,1.2645,1.3220375,0.9939125,0.4153625,3.4227875,4.5489999999999995,2.722425,1.08655,0.5616
72,2.20615,3.57315,2.57905,1.35805,1.3844,0.9943,0.41525,3.30355,4.6282,2.75985,1.08095,0.5798
73,2.4638,3.8363333333333336,2.7187666666666668,1.7154333333333334,1.5255,1.2647333333333333,0.4235333333333333,3.5935,5.301666666666667,3.0665666666666667,1.2112666666666667,0.6488666666666667
74,2.1761583333333334,3.5277833333333333,2.394725,1.4378333333333333,1.385475,1.152975,0.3873333333333333,3.4425666666666666,4.737208333333333,2.65645,1.1908083333333332,0.5234
75,1.8313666666666666,3.5045444444444445,2.0097555555555555,1.1136333333333333,1.1065777777777779,0.9104222222222222,0.3471,3.5610222222222223,4.435022222222222,2.2547,0.9974666666666666,0.4757777777777778
76,1.4113,3.6214,1.641,0.838475,0.903225,0.637675,0.27835,3.5304,4.2443,1.8458,0.7775000000000001,0.365075
77,1.73912,3.32904,2.0557666666666665,1.0205733333333333,1.1283066666666668,0.7846466666666667,0.36051333333333335,3.2288866666666665,4.107026666666667,2.3518,0.95906,0.4552866666666667
78,1.9578588235294119,3.3406294117647057,2.270670588235294,1.1745764705882353,1.2602764705882352,0.9144705882352941,0.39191764705882354,3.2727764705882354,4.284117647058824,2.6338470588235294,1.0685941176470588,0.5181764705882352
79,2.004242857142857,3.356392857142857,2.3242857142857143,1.1793,1.2657214285714287,0.9203285714285715,0.39,3.248,4.284242857142857,2.63585,1.0681642857142857,0.5290928571428571
80,1.75575,2.8745833333333333,1.9654166666666666,1.0522166666666666,1.0829,0.8467333333333333,0.3409833333333333,2.88175,3.7554833333333333,2.2312166666666666,0.9236333333333333,0.45281666666666665
81,1.08245,1.7526,1.20275,0.6873,0.6701,0.53265,0.2062,1.7182,2.3024,1.3574,0.567,0.2749
82,2.4745,3.9798999999999998,2.94085,1.5796999999999999,1.6016,1.15125,0.51445,3.5616,5.2593499999999995,3.0850999999999997,1.1031499999999999,0.6426499999999999
83,2.19795,3.5115166666666666,2.434241666666667,1.3563833333333333,1.3325583333333333,1.0791166666666667,0.420575,3.4607666666666668,4.6456583333333334,2.692591666666667,1.131525,0.5629666666666666
84,1.8925411764705882,3.3928823529411765,2.138494117647059,1.1223176470588236,1.1644882352941177,0.8853235294117647,0.36614705882352944,3.334935294117647,4.277464705882353,2.385564705882353,1.0126411764705883,0.4895529411764706
85,1.76878,3.3341066666666666,2.10716,1.0382533333333333,1.14568,0.7746666666666666,0.36073333333333335,3.1766533333333333,4.101333333333334,2.3440866666666667,0.9558133333333333,0.46663333333333334
86,1.8353736842105264,3.166236842105263,2.1680684210526318,1.0853526315789475,1.1952368421052633,0.8165473684210527,0.3808473684210526,3.028763157894737,3.9682684210526316,2.4810368421052633,1.0294,0.4780105263157895
87,1.90271875,3.260575,2.2340625,1.116425,1.22374375,0.862025,0.38556250000000003,3.164625,4.1191625,2.55591875,1.0435875000000001,0.500875
88,1.992711111111111,3.326488888888889,2.3076222222222222,1.169722222222222,1.2469555555555556,0.9171888888888889,0.3947333333333333,3.2192333333333334,4.2356444444444445,2.5945888888888886,1.0604,0.5219111111111111
89,1.5980750000000001,2.6111,1.789175,0.95585,0.9764250000000001,0.77645,0.3147,2.60135,3.417875,2.02005,0.830225,0.41422499999999995
90,0,0,0,0,0,0,0,0,0,0,0,0
91,1.3199333333333334,2.0475,1.4371,0.7319333333333333,0.7652666666666667,0.5530333333333334,0.2551,1.9346666666666665,2.5338666666666665,1.5048,0.7019,0.31243333333333334
92,1.9799,3.07125,2.15565,1.0979,1.1479,0.82955,0.38265,2.902,3.8007999999999997,2.2572,1.0528499999999998,0.46865
93,2.5,3.8782,2.8205,1.7308,1.5705,1.2821,0.4167,3.6538,5.4167,3.109,1.1859,0.6731
94,2.1294272727272725,3.406809090909091,2.3942727272727273,1.2685090909090908,1.3029,0.9863272727272727,0.4174,3.309018181818182,4.4145,2.5929545454545453,1.0929909090909091,0.5405
95,1.9544615384615385,3.2346307692307694,2.2646384615384614,1.1382307692307692,1.2248307692307692,0.8649153846153846,0.38583076923076925,3.0930615384615385,4.082007692307692,2.4961153846153845,1.049553846153846,0.5034076923076923
96,1.9368941176470589,3.2767235294117647,2.3168058823529414,1.127429411764706,1.2501941176470588,0.8346764705882352,0.3936,3.068635294117647,4.114541176470588,2.558094117647059,1.0225470588235295,0.5080235294117648
97,1.8955142857142857,3.238728571428571,2.2231214285714285,1.1116357142857143,1.225542857142857,0.8417142857142857,0.38269285714285717,3.103242857142857,4.071242857142857,2.542242857142857,1.0337571428571428,0.49544285714285713
98,1.9691,3.2844235294117645,2.2676882352941177,1.160135294117647,1.2403411764705883,0.8981823529411764,0.3871058823529412,3.185505882352941,4.174064705882353,2.557005882352941,1.0587,0.516964705882353
99,2.0529,3.3234,2.332475,1.2165875,1.263625,0.941825,0.392625,3.2309625,4.2662125,2.5641875,1.0759875,0.5357375
100,1.3386666666666667,2.1411333333333333,1.4976,0.7583333333333333,0.8016333333333333,0.5915666666666667,0.2577,2.0471333333333335,2.7002333333333333,1.6166666666666665,0.7046333333333333,0.3391
101,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0
