cell_id,democrat_percent,republican_percent,turnout_percent
1,71,26.8,73.8
2,71,26.8,73.8
3,71,26.8,73.8
4,77.3,20.9,72.35
5,79.675,18.65,71.05
6,76.35,21.700000000000003,71.94999999999999
7,65.4,33.2,77.1
8,74.13333333333334,24.266666666666666,71.53333333333333
9,84.63333333333333,14.1,69.36666666666667
10,80.24,18.16,71.2
11,79.13333333333334,19.233333333333334,72.96666666666667
12,73.3,24.9,79.4
13,61.7,35.3,78
14,66.325,31.7,76.475
15,74.13333333333334,24.266666666666666,71.53333333333333
16,82.08,16.34,69.32000000000001
17,85.8,12.916666666666666,69.65
18,84.4,14.24,70.92
19,67.4,30.9,84
20,68.2,30.35,81.35
21,65.35,32.55,78.35
22,66.7,31.3,77.34
23,73.425,24.725,74.5
24,78.3,19.825,72.15
25,85.36666666666667,13.35,70.58333333333333
26,91.67999999999999,7.24,69
27,94.25,4.95,67.1
28,67.4,30.9,84
29,68.2,30.35,81.35
30,68.8,29.4,83.175
31,70.74285714285715,27.142857142857142,82.94285714285714
32,75.2,22.84285714285714,79.21428571428571
33,81.26,17,74.92
34,84.55,14.016666666666666,72.48333333333333
35,93.05,6.183333333333334,68.71666666666667
36,94.81666666666666,4.433333333333334,64.86666666666667
37,90.93333333333334,7.966666666666667,65.43333333333334
38,82.7,15.4,73.35
39,79.9,18.1,74.7
40,67.4,30.9,84
41,70.33333333333333,27.7,82.56666666666666
42,73.25714285714285,24.428571428571427,83.37142857142857
43,79.0875,18.8875,81.3125
44,84.7875,13.7125,75.3
45,86.68333333333334,12.183333333333334,73.4
46,93.8,5.26,66.58
47,94.86666666666667,4.288888888888889,63.32222222222222
48,91.41428571428571,7.5285714285714285,67.12857142857143
49,82.06,16.38,74.08
50,73.2,24.950000000000003,75.1
51,70.1,28.299999999999997,80.9
52,70.1,28.299999999999997,80.9
53,72.03333333333333,25.8,82.8
54,80.7,17.175,83.225
55,85.54285714285714,12.657142857142858,76.38571428571429
56,89.4,9.15,71.7
57,92.54,6.1,67.5
58,94.03333333333333,4.855555555555556,61.48888888888889
59,92.15,6.65,64.35
60,77.68888888888888,20.322222222222223,70.9888888888889
61,63.3,34.775,78.625
62,50.3,47.7,85.9
63,73.5,23.8,84.6
64,78.2,19.46666666666667,82.76666666666667
65,86.7,11.08,80.17999999999999
66,92.775,5.375,69.525
67,92.76,5.64,62.24
68,92.32222222222222,6.4222222222222225,58.63333333333333
69,90.36666666666667,8.433333333333334,62.91111111111111
70,75.74444444444444,22.4,70.4888888888889
71,57.95,39.650000000000006,78.05000000000001
72,55.5,42.2,79.05000000000001
73,81.6,16.1,85
74,91.61111111111111,6.511111111111111,79.82222222222222
75,92.9375,5.1875,74.125
76,91.6,6.75,61
77,92.0875,6.675,56.7625
78,86.85384615384615,11.9,60.02307692307692
79,74.62727272727273,23.654545454545456,65.7
80,66.7,30.85,71.65
81,60.7,36.7,72.2
82,87.1,10.950000000000001,83.15
83,92.125,5.987500000000001,78.575
84,92.82727272727273,5.390909090909091,68.03636363636363
85,92.2625,6.4625,62.325
86,91.875,6.925,58.525
87,84.04545454545455,14.545454545454545,59.518181818181816
88,71.18333333333334,26.816666666666666,64.65
89,69.55,27.55,74.4
90,80.9,15.8,73.2
91,80.9,15.8,73.2
92,85.86666666666667,11,69.83333333333334
93,92.6,5.8,81.3
94,90.9,6.533333333333333,69.81666666666666
95,92.24545454545455,5.7,65.7
96,93.0909090909091,5.827272727272727,61.92727272727273
97,90.88333333333333,7.741666666666667,59.7
98,80.27,18.07,63.51
99,73.61666666666666,24.3,68
100,77.69999999999999,19.55,67.9
101,100,0,100
102,100,0,100
103,80.775,16.25,72.725
104,80.72857142857143,16.34285714285714,69.85714285714286
105,83.02857142857142,14.17142857142857,68.31428571428572
106,88.32857142857142,9.942857142857143,59.77142857142857
107,90.75999999999999,7.8,58.06
108,92,6.6571428571428575,59.4
109,86.6,11.65,60.5375
110,78.18333333333334,20.03333333333333,64.03333333333333
111,77.7,20.24,64.48
112,83.3,13.8,59.1
113,100,0,100
114,100,0,100
115,NA,NA,NA
116,NA,NA,NA
117,100,0,100
118,NA,NA,NA
119,82.44,14.719999999999999,72.96000000000001
120,80.79090909090908,16.51818181818182,69.51818181818182
121,85.8,11.55,67.2125
122,88.58,8.4,63
123,91.4,7.366666666666666,59.4
124,89.35714285714286,9.157142857142857,54.457142857142856
125,88.67777777777778,9.577777777777778,59.77777777777778
126,84.2875,13.825,62.25
127,76.34,21.48,66.28999999999999
128,70.47777777777777,27.46666666666667,70.23333333333333
129,64.10000000000001,33.58,76.32
130,NA,NA,NA
131,100,0,100
132,100,0,100
133,100,0,100
134,100,0,100
135,NA,NA,NA
136,NA,NA,NA
137,80.73333333333333,16.866666666666667,69.46666666666667
138,81.425,16.175,68.95
139,86.375,10.7,64.5625
140,88.11428571428571,8.842857142857143,59.34285714285714
141,88.19999999999999,9.2,52.8
142,88.75,9.125,59.15
143,85.02222222222223,12.833333333333334,64.26666666666667
144,86.2909090909091,11.581818181818182,69.60909090909091
145,85.71666666666667,12.55,65.55
146,76.36666666666667,21.28333333333333,67.9
147,71.31666666666666,26.3,74
148,64.14,33.4,76.5
149,59.7,37.4,77.3
150,100,0,100
151,100,0,100
152,100,0,100
153,100,0,100
154,NA,NA,NA
155,NA,NA,NA
156,83.2,14.6,66.7
157,84.8,12.533333333333333,64.53333333333333
158,85.6,11.1,62.5
159,85.6,11.1,62.5
160,NA,NA,NA
161,82.9,14.633333333333333,73.46666666666667
162,83.8,13.7375,74.825
163,83.325,14.299999999999999,68.275
164,80.26666666666667,17.566666666666666,67.03333333333333
165,74.65,22.950000000000003,72.94999999999999
166,68.23333333333333,29.133333333333333,75.3
167,59.7,37.4,77.3
168,100,0,100
169,100,0,100
170,NA,NA,NA
171,NA,NA,NA
172,85.6,11.1,62.5
173,85.6,11.1,62.5
174,83.63333333333334,14,74.35
175,79.05,18.666666666666664,70.58333333333333
176,76.89999999999999,20.733333333333334,71.76666666666667
177,79.05,18.55,72.3
178,80,17.5,73
179,80,17.5,73
180,NA,NA,NA
181,NA,NA,NA
182,75.2,22.7,76.8
183,78.53333333333333,19.133333333333333,72.33333333333333
184,76.9,20.9125,71.6875
185,79.24,18.62,70.46
186,79.55,18,71.65
187,80,17.5,73
188,80,17.5,73
189,80,17.5,73
190,NA,NA,NA
191,NA,NA,NA
192,NA,NA,NA
193,75.36666666666667,22.333333333333332,77.3
194,77.28571428571429,20.45714285714286,75.64285714285714
195,78.28,19.52,71.67999999999999
196,79.86666666666666,17.916666666666668,66.45
197,78.475,19.075,68.55
198,80,17.5,73
199,80,17.5,73
200,80,17.5,73
201,NA,NA,NA
202,NA,NA,NA
203,NA,NA,NA
204,76.9,20.3,76.5
205,77.65,20.05,71.75
206,77.73333333333333,20.2,64.13333333333333
207,78.33333333333333,19.5,64.45
208,74.41666666666667,23.583333333333332,69.28333333333333
209,70.56666666666666,27.599999999999998,72.53333333333333
210,80,17.5,73
211,NA,NA,NA
212,NA,NA,NA
213,NA,NA,NA
214,76.9,20.3,76.5
215,NA,NA,NA
216,NA,NA,NA
217,NA,NA,NA
218,70.375,28.025,69.325
219,66.525,32.075,69.375
220,64.4,34.4,73.3
221,NA,NA,NA
222,NA,NA,NA
223,NA,NA,NA
224,NA,NA,NA
225,67.19999999999999,31.5,66.45
226,66.26666666666667,32.46666666666667,68.73333333333333
227,64.5,34.5,70.35
228,NA,NA,NA
229,NA,NA,NA
230,NA,NA,NA
231,NA,NA,NA
232,NA,NA,NA
233,NA,NA,NA
234,NA,NA,NA
235,NA,NA,NA
236,NA,NA,NA
237,NA,NA,NA
238,NA,NA,NA
239,NA,NA,NA
240,NA,NA,NA
241,NA,NA,NA
242,NA,NA,NA
243,NA,NA,NA
244,NA,NA,NA
245,NA,NA,NA
246,NA,NA,NA
247,NA,NA,NA
248,NA,NA,NA
249,NA,NA,NA
250,NA,NA,NA
251,NA,NA,NA
252,NA,NA,NA
253,NA,NA,NA
254,NA,NA,NA
255,NA,NA,NA
256,NA,NA,NA
257,NA,NA,NA
258,NA,NA,NA
259,NA,NA,NA
260,NA,NA,NA
261,NA,NA,NA
