geoid,area_land,geometry,ward_precinct,democrat_percent,republican_percent,turnout_percent
02021,48661778,"list(list(c(1906318.05825318, 1906704.58265779, 1907150.26510861, 1908076.49982484, 1908092.59154832, 1909258.75403856, 1909633.33043256, 1909905.15889687, 1909914.5666836, 1910004.2525294, 1909996.11660709, 1910195.31188436, 1910188.55451776, 1910449.36459551, 1910507.77401007, 1910533.59366289, 1912992.08981308, 1914671.94410847, 1910822.10397614, 1907902.56628912, 1907851.48099794, 1907862.197272, 1907625.8003809, 1907628.40551383, 1907458.91124476, 1907465.17741626, 1907320.50004388, 1907381.41688243, 
1907258.14630621, 1907358.20346933, 1907286.17833275, 1907323.93446809, 1907416.22346704, 1907315.32986975, 1907336.16769382, 1907485.09080993, 1907401.95464557, 1907513.6202629, 1907271.87130319, 1907335.44435402, 1907173.27194863, 1907287.4173637, 1907429.3337572, 1907466.41591366, 1907280.27998811, 1907202.66246147, 1907047.79749393, 1906888.70345571, 1906857.05958531, 1906875.77615539, 1906658.8809475, 1906769.79313828, 1906703.37403127, 1906837.10410207, 1906783.21746241, 1906634.04346199, 1906716.45745456, 
1907014.11583508, 1906840.58080686, 1907090.4286484, 1907088.75437253, 1906742.68097025, 1906717.92382705, 1906944.1296683, 1906757.14683496, 1906643.48617828, 1906693.93331973, 1906520.03803753, 1906590.31974029, 1906379.87400283, 1906318.05825318, 506515.077179708, 505566.516064042, 505216.718606029, 504701.094898636, 504237.854142086, 504202.618643401, 504191.194570234, 504308.682495114, 504532.643721516, 504567.239326693, 504880.206268175, 504858.442077039, 505074.519706276, 505069.306049752, 
504971.944567153, 504644.145723486, 506342.559935439, 508770.853813171, 512219.764737239, 514765.533150519, 514795.983457165, 514671.985582596, 514670.176422712, 514571.28511136, 514503.147405691, 514381.626775138, 514329.08706488, 514172.197523132, 514065.335147248, 514026.370316177, 513742.038983713, 513515.436265692, 513433.27778652, 513253.757444217, 513048.551750678, 512958.714399368, 512804.025532116, 512649.990277134, 512589.760457256, 512328.001986038, 512325.224181908, 511865.385326062, 
512008.681515265, 511778.841927165, 511282.350527308, 510933.165448918, 510745.424859715, 510500.891908059, 509839.247538077, 509627.364929741, 509416.525863764, 509179.210051493, 508852.994694405, 508775.571669021, 508603.800401535, 508529.794543287, 508291.687832221, 508195.216950718, 508037.484191135, 507950.214945879, 507806.512646961, 507743.082414576, 507648.855179597, 507327.94601886, 507343.264222986, 507157.066822267, 507045.078042522, 506989.657422029, 506851.668154363, 506777.769995561, 
506515.077179708)))",NA,71,26.8,73.8
02026,26537537,"list(list(c(1899376.89579661, 1901779.54669183, 1903736.01601771, 1905340.27354876, 1907335.44435402, 1907271.87130319, 1907513.6202629, 1907401.95464557, 1907485.09080993, 1907336.16769382, 1907315.32986975, 1907416.22346704, 1907323.93446809, 1907286.17833275, 1907358.20346933, 1907258.14630621, 1907381.41688243, 1907320.50004388, 1907465.17741626, 1907458.91124476, 1907628.40551383, 1907625.8003809, 1907862.197272, 1907851.48099794, 1906762.66015593, 1905860.74875083, 1905528.04102306, 1905356.92671942, 
1904984.41493497, 1903718.23374961, 1903668.078367, 1903441.80140289, 1903379.39219494, 1903444.6702965, 1903205.67495473, 1903118.75582866, 1902958.94126612, 1902476.83432586, 1902231.9826652, 1901995.64291371, 1901683.11178384, 1901496.53403994, 1901155.50819873, 1900864.60012777, 1900673.00713062, 1900406.61592646, 1900121.4832414, 1900163.63910831, 1900143.57425469, 1899864.49265499, 1899684.63695426, 1899420.66349756, 1899411.97601338, 1899376.89579661, 516317.006685252, 515015.882857068, 513734.137064775, 
513548.881850978, 512328.001986038, 512589.760457256, 512649.990277134, 512804.025532116, 512958.714399368, 513048.551750678, 513253.757444217, 513433.27778652, 513515.436265692, 513742.038983713, 514026.370316177, 514065.335147248, 514172.197523132, 514329.08706488, 514381.626775138, 514503.147405691, 514571.28511136, 514670.176422712, 514671.985582596, 514795.983457165, 515447.100015733, 517622.223795564, 517741.546796654, 517802.810727397, 517313.716527522, 518220.957245679, 518319.695094472, 
518372.44753381, 518500.443128758, 518724.198837512, 519084.768032847, 519364.130700566, 519418.554839264, 519144.522692243, 519581.710527456, 519602.439014978, 518118.424499512, 517916.902706529, 517755.144876752, 517762.17131935, 517644.106178013, 517622.238877028, 517665.334725085, 517402.736995235, 517052.792963429, 516889.824994565, 516992.53848696, 516923.778036534, 516520.012680109, 516317.006685252)))",NA,71.8875,26.325,75
02108,353358,"list(list(c(1908281.56494351, 1908348.2119319, 1908860.6629042, 1909093.52041843, 1909250.0364314, 1909334.61835623, 1909455.32788976, 1909368.73977728, 1909344.8115435, 1909206.68158954, 1909038.80714556, 1909056.70592474, 1908414.79242541, 1908480.1191268, 1908264.22469413, 1908271.73052157, 1908147.57252164, 1908281.56494351, 530515.832923369, 530488.126849234, 530840.986595823, 530790.24643582, 530738.287929678, 530943.292655395, 530955.490448862, 531056.017224737, 531182.967421252, 531190.799418061, 
531337.96871975, 531148.816962017, 530920.660713874, 530709.28060817, 530876.701582889, 530591.995569288, 530442.442452492, 530515.832923369)))",NA,83.65714285714286,13.928571428571429,72.87142857142857
02109,448840,"list(list(c(1909044.24884059, 1909147.20072175, 1909488.80180556, 1909505.49060216, 1909676.03219449, 1909480.12834363, 1909365.03163694, 1909204.19774677, 1909214.6231121, 1909397.59050152, 1909344.8115435, 1909368.73977728, 1909455.32788976, 1909710.22929004, 1909844.16425574, 1909834.29654057, 1909594.70762537, 1909685.50333781, 1910044.36676296, 1909913.50143795, 1909613.8844249, 1909618.77930145, 1909193.06289305, 1908893.51743692, 1909044.24884059, 532084.487353122, 532267.030478819, 532235.814367343, 
532003.009516089, 531957.291033891, 531745.292324163, 531614.056492895, 531719.305327026, 531557.633079977, 531188.005102769, 531182.967421252, 531056.017224737, 530955.490448862, 530993.559511894, 531200.489047898, 531417.508497832, 531491.742362254, 531917.375690474, 531984.700461393, 532386.105812897, 532634.096699512, 532758.779262078, 532582.892545441, 532266.011551907, 532084.487353122)))",NA,76.03999999999999,21.7,71.8
02110,469252,"list(list(c(1909399.88878139, 1909646.44616632, 1909965.77571307, 1910094.81857918, 1910235.10569162, 1910164.78526097, 1910044.36676296, 1909685.50333781, 1909594.70762537, 1909834.29654057, 1909844.16425574, 1909710.22929004, 1909455.32788976, 1909334.61835623, 1909250.0364314, 1909399.88878139, 530511.858670754, 530527.358756458, 530886.053101926, 530843.230755007, 531521.838695909, 531678.021594116, 531984.700461393, 531917.375690474, 531491.742362254, 531417.508497832, 531200.489047898, 530993.559511894, 
530955.490448862, 530943.292655395, 530738.287929678, 530511.858670754)))",NA,78.76666666666667,19.099999999999998,67.9
02111,700224,"list(list(c(1909037.0572511, 1909188.62661187, 1909209.77356492, 1909517.34153279, 1909579.08771338, 1909610.28821809, 1909723.91291715, 1909940.88672149, 1909936.14529464, 1910004.69357597, 1909720.17920149, 1909646.44616632, 1909399.88878139, 1909250.0364314, 1909093.52041843, 1909043.74367694, 1909037.0572511, 530345.858835785, 530342.373309034, 529710.108324566, 529678.756113457, 529506.676558778, 529391.721115415, 529642.974717465, 529868.469824555, 529934.012854716, 530405.783006059, 530512.097021712, 
530527.358756458, 530511.858670754, 530738.287929678, 530790.24643582, 530629.007878529, 530345.858835785)))",NA,84.15,13.799999999999999,66.95
02113,259756,"list(list(c(1909106.83128484, 1909147.53704432, 1909179.19600292, 1909140.83000267, 1909163.73516663, 1909204.19774677, 1909365.03163694, 1909480.12834363, 1909676.03219449, 1909505.49060216, 1909488.80180556, 1909147.20072175, 1909044.24884059, 1909106.83128484, 531895.008880051, 531907.930979588, 531807.661345784, 531796.47085346, 531761.153064425, 531719.305327026, 531614.056492895, 531745.292324163, 531957.291033891, 532003.009516089, 532235.814367343, 532267.030478819, 532084.487353122, 531895.008880051
)))",NA,76.52,21.28,72.04
02114,1162383,"list(list(c(1907879.55354143, 1908095.0622908, 1908147.57252164, 1908271.73052157, 1908264.22469413, 1908480.1191268, 1908414.79242541, 1909056.70592474, 1909038.80714556, 1909043.59645326, 1909214.6231121, 1909204.19774677, 1909163.73516663, 1909140.83000267, 1909179.19600292, 1909147.53704432, 1909106.83128484, 1909044.24884059, 1908893.51743692, 1908665.89750214, 1908567.52866343, 1908160.98960711, 1908107.50983931, 1908066.51371892, 1907917.46042348, 1907905.8397398, 1907879.55354143, 530808.040975162, 
530496.594358677, 530442.442452492, 530591.995569288, 530876.701582889, 530709.28060817, 530920.660713874, 531148.816962017, 531337.96871975, 531392.24911036, 531557.633079977, 531719.305327026, 531761.153064425, 531796.47085346, 531807.661345784, 531907.930979588, 531895.008880051, 532084.487353122, 532266.011551907, 532158.696150014, 532206.858290459, 532102.904837015, 531954.259568487, 531840.549203877, 531125.77052324, 530866.512689739, 530808.040975162)))",NA,81.47777777777777,16.055555555555557,73.84444444444445
02115,1833364,"list(list(c(1906043.78691784, 1906215.68860067, 1906221.76081646, 1906581.00600206, 1906717.75945564, 1906798.96158212, 1906911.37528981, 1906926.90389565, 1906947.00921785, 1907298.36276951, 1907395.47275659, 1907612.46139989, 1907725.27221565, 1907907.04554477, 1907980.69161468, 1908110.34051018, 1908092.88962236, 1908018.07324011, 1907963.77737712, 1907910.27677107, 1907796.95072165, 1907721.28458373, 1907605.10640727, 1907728.47348155, 1907439.18707563, 1907400.16651833, 1907226.77686163, 1906985.68564046, 
1907178.8391623, 1907486.0936115, 1907286.45880606, 1907290.6382616, 1907312.23078701, 1907022.19209174, 1906979.02643262, 1906755.60256992, 1906440.99596722, 1906257.50515992, 1906370.0837845, 1906244.01495325, 1906130.54713489, 1906092.97317991, 1906109.84381376, 1906013.54484076, 1906043.78691784, 526991.8328237, 526910.406888073, 526984.231865436, 527412.515693034, 527385.160187716, 527604.119932496, 527537.797963113, 527653.692535353, 527732.272911468, 527674.775079194, 527939.508095031, 527870.363337788, 
528131.251797637, 528515.93712981, 528698.383132491, 528970.792596593, 528988.246087976, 529031.380400415, 529157.742986571, 529190.827549466, 529177.957005677, 529188.191717403, 529363.619455742, 529457.507089306, 529887.026990421, 529929.515844382, 530200.789262965, 529986.7683335, 529690.582104082, 529213.881635379, 529117.840361606, 529021.191715073, 528483.438313115, 528106.616091437, 528071.147300737, 528158.033178515, 528421.210937277, 527905.435943924, 527849.798027562, 527521.385025788, 
527550.478850565, 527442.24668477, 527401.262242183, 526978.689272871, 526991.8328237)))",NA,87.64444444444445,10.627777777777778,60.81666666666666
02116,1633045,"list(list(c(1907400.16651833, 1907439.18707563, 1907728.47348155, 1908011.03647813, 1908117.00788845, 1908074.90177902, 1907963.77737712, 1908018.07324011, 1908092.88962236, 1908130.51380645, 1908275.23645218, 1908757.13296836, 1908954.80392303, 1909018.10365264, 1908960.13740358, 1909209.77356492, 1909188.62661187, 1909037.0572511, 1908814.33747644, 1908601.09796517, 1908348.2119319, 1908281.56494351, 1908147.57252164, 1908095.0622908, 1907879.55354143, 1907844.0569893, 1907226.77686163, 1907400.16651833, 
529929.515844382, 529887.026990421, 529457.507089306, 529671.575457766, 529504.90830392, 529384.175706568, 529157.742986571, 529031.380400415, 528988.246087976, 529056.497462927, 528972.091665716, 529177.91283359, 529361.702840267, 529600.614578907, 529653.53880245, 529710.108324566, 530342.373309034, 530345.858835785, 530255.539957874, 530117.484623369, 530488.126849234, 530515.832923369, 530442.442452492, 530496.594358677, 530808.040975162, 530755.779334707, 530200.789262965, 529929.515844382)))",NA,85.61333333333333,12.213333333333333,72.94
02118,2839685,"list(list(c(1907796.14247777, 1907966.67880377, 1908107.75054485, 1908412.71709527, 1908552.85454178, 1908683.51257367, 1908958.40985627, 1909076.65055359, 1909399.52661056, 1909309.31979007, 1909439.48349476, 1909703.44768415, 1909779.42677574, 1909799.58947251, 1909864.679407, 1909694.52471853, 1909690.5834358, 1909610.28821809, 1909579.08771338, 1909517.34153279, 1909209.77356492, 1908960.13740358, 1909018.10365264, 1908954.80392303, 1908757.13296836, 1908275.23645218, 1908130.51380645, 1908092.88962236, 
1908110.34051018, 1907980.69161468, 1907907.04554477, 1907725.27221565, 1907796.14247777, 528013.629929337, 528292.501836108, 528276.247792072, 527751.100444888, 527674.271014265, 527906.943024844, 527981.055140129, 527904.826690177, 527601.370064975, 527493.258014449, 527558.159792019, 527281.681636902, 527857.120076602, 528007.20019817, 528586.569327288, 529245.15731224, 529398.294044309, 529391.721115415, 529506.676558778, 529678.756113457, 529710.108324566, 529653.53880245, 529600.614578907, 
529361.702840267, 529177.91283359, 528972.091665716, 529056.497462927, 528988.246087976, 528970.792596593, 528698.383132491, 528515.93712981, 528131.251797637, 528013.629929337)))",NA,86.21428571428571,11.90952380952381,64.33333333333333
02119,4137558,"list(list(c(1907343.88621823, 1907320.2817814, 1907464.73043266, 1907530.07316324, 1907588.0767515, 1907594.65949653, 1907821.58327071, 1907847.01398392, 1907894.90011509, 1907953.2050909, 1908002.86538088, 1908144.8087854, 1908260.70386625, 1909133.98103121, 1909096.23327897, 1909182.34705556, 1909030.04422612, 1909734.33177109, 1909713.84935286, 1909703.44768415, 1909439.48349476, 1909309.31979007, 1909399.52661056, 1909076.65055359, 1908958.40985627, 1908683.51257367, 1908552.85454178, 1908412.71709527, 
1908152.74910509, 1908101.45045534, 1908200.57974043, 1908144.60832846, 1907941.83764511, 1907436.53494298, 1907348.10858943, 1907310.59173976, 1907312.14628227, 1907296.96195112, 1907184.96505546, 1907343.88621823, 525667.131356842, 525599.725641442, 525390.775444305, 525328.318056823, 525286.892137379, 525281.809705857, 525013.299775997, 525059.294985398, 525110.717148014, 525223.065397392, 525651.609388123, 525995.950327038, 525953.214966338, 525702.979549585, 526144.127788404, 526240.115291983, 
526445.828125533, 526681.17668753, 526922.371406101, 527281.681636902, 527558.159792019, 527493.258014449, 527601.370064975, 527904.826690177, 527981.055140129, 527906.943024844, 527674.271014265, 527751.100444888, 527823.957411243, 527594.171908365, 527554.639892708, 527250.053583182, 527340.511953359, 527305.676088041, 526885.062459756, 526487.198364191, 526361.458132258, 526207.84579399, 525752.642436879, 525667.131356842)))",NA,91.24814814814815,7.325925925925926,60.74444444444445
02120,1607480,"list(list(c(1906415.8005191, 1906408.40502305, 1906891.76578902, 1907307.67556782, 1907310.59173976, 1907348.10858943, 1907436.53494298, 1907941.83764511, 1908144.60832846, 1908200.57974043, 1908101.45045534, 1908152.74910509, 1908412.71709527, 1908107.75054485, 1907966.67880377, 1907796.14247777, 1907725.27221565, 1907612.46139989, 1907395.47275659, 1907298.36276951, 1906947.00921785, 1906926.90389565, 1906911.37528981, 1906798.96158212, 1906717.75945564, 1906581.00600206, 1906221.76081646, 1906415.8005191, 
526706.128495966, 526734.241774714, 526510.785426653, 526646.345460225, 526487.198364191, 526885.062459756, 527305.676088041, 527340.511953359, 527250.053583182, 527554.639892708, 527594.171908365, 527823.957411243, 527751.100444888, 528276.247792072, 528292.501836108, 528013.629929337, 528131.251797637, 527870.363337788, 527939.508095031, 527674.775079194, 527732.272911468, 527653.692535353, 527537.797963113, 527604.119932496, 527385.160187716, 527412.515693034, 526984.231865436, 526706.128495966
)))",NA,89.29375,8.975,57.54375
02121,4520353,"list(list(c(1907820.82667119, 1908172.17331781, 1908184.50325945, 1908474.30536392, 1908561.169726, 1908739.34944546, 1909023.7717629, 1909177.18116345, 1909345.11047135, 1909839.03534611, 1909873.07702224, 1909989.75690971, 1910078.32757223, 1910052.82636536, 1910032.4942533, 1910146.69254966, 1910021.10166064, 1910078.25718397, 1909807.35598011, 1909753.14980674, 1909756.54406783, 1909412.52466398, 1909423.78350881, 1909133.98103121, 1908260.70386625, 1908144.8087854, 1908002.86538088, 1907953.2050909, 
1907894.90011509, 1907847.01398392, 1907922.82175103, 1907926.24331398, 1908076.58182256, 1908172.77700931, 1908198.85685724, 1907885.11054948, 1907820.82667119, 523706.00653698, 523354.581851928, 523163.339204733, 522910.150191193, 522779.085856208, 523432.592354424, 523735.724872804, 523699.29333437, 523488.969254308, 523764.077971958, 523968.667496955, 524068.724013247, 524174.18806949, 524317.230391648, 524562.13279654, 524729.200261288, 524831.959021413, 524844.16410906, 525156.959333112, 524999.925714114, 
525536.834726379, 525608.826261931, 525688.951301341, 525702.979549585, 525953.214966338, 525995.950327038, 525651.609388123, 525223.065397392, 525110.717148014, 525059.294985398, 524983.01212849, 524613.04418876, 524449.734195748, 524445.990955418, 524266.64221759, 523946.35784816, 523706.00653698)))",NA,92.03809523809524,6.8,59.114285714285714
02122,5270568,"list(list(c(1916870.70302244, 1917092.6872504, 1917294.91352863, 1917403.4832464, 1917630.80125566, 1917638.97542734, 1917782.1513212, 1917849.77678534, 1918085.47131191, 1918068.37955399, 1917702.69577374, 1917204.4530583, 1917196.57115028, 1916793.96431584, 1916870.70302244, 527255.987277211, 527309.7423348, 527483.510066468, 527735.523526722, 527855.619043449, 528478.821826132, 529255.69146265, 529365.376638751, 529747.705864386, 530074.339522261, 530101.994459091, 528894.185076325, 528078.027944473, 
527485.56924134, 527255.987277211)), list(c(1910052.82636536, 1910266.97447044, 1910866.53212763, 1910984.15476677, 1911009.72348851, 1910926.45918792, 1911026.21566706, 1911047.71134717, 1911199.56057076, 1911244.29227409, 1911421.11188748, 1911478.38240085, 1911772.13818565, 1911628.60836269, 1911813.56187185, 1911822.98304146, 1911953.81536862, 1912477.27156195, 1912477.62495421, 1912615.14112078, 1912557.91916097, 1912549.82429591, 1912852.90548764, 1912984.280777, 1913042.59875834, 1913008.09224321, 
1913110.47094009, 1913185.14539635, 1913002.93293645, 1912804.33936213, 1912395.18333716, 1912265.27179437, 1912343.14935012, 1912295.95259311, 1911790.21871346, 1911787.59537302, 1911755.06395379, 1911457.73253065, 1911200.48362119, 1911152.10426639, 1910977.39462447, 1910868.59994118, 1911051.4575472, 1910962.71392637, 1910718.16154808, 1910767.68266215, 1910448.49296086, 1910404.79949721, 1910247.6831582, 1910301.02266491, 1910366.71484393, 1910206.98786181, 1910078.25718397, 1910021.10166064, 
1910146.69254966, 1910032.4942533, 1910052.82636536, 524317.230391648, 524453.567006722, 524154.017615821, 524247.86172715, 523938.893447288, 523710.878367922, 523699.683559326, 523428.168243379, 523535.390604535, 523464.099377371, 523610.360198152, 523476.730354331, 523089.354890172, 522977.142571806, 522809.498289833, 522584.046033191, 522578.293385179, 522853.45846315, 522505.870143578, 522446.735661004, 522154.246470608, 522114.24976732, 522012.352463886, 522150.070313265, 522287.68130827, 522743.434804569, 
523138.182862614, 523635.614574972, 523902.85579679, 524104.613237357, 524160.035773906, 524555.075995578, 524701.01862936, 525030.114868551, 525099.790115993, 525024.919967787, 524721.705019759, 524900.430268858, 525000.746906171, 525575.747166313, 525603.947019478, 525374.920436047, 525302.774851389, 525235.304002376, 525382.741412198, 525461.428633518, 525642.860607832, 525425.991222773, 525497.983426749, 525280.810822817, 525235.965432979, 524841.252423254, 524844.16410906, 524831.959021413, 
524729.200261288, 524562.13279654, 524317.230391648)))",NA,75.70869565217392,22.608695652173914,67.42173913043479
